DSE_ID,COLL_ID,ENDPOINT_ID,ENDPOINT_URL,MSG_ID,TIME_STAMP,id,att1,att2,att3,att4,att5,attt6,label
1,1,1,http://192.168.0.124,2291,2019-07-20 13:01:46.583116673,769,0,1,7,0,257,818,0
1,1,1,http://192.168.0.124,2292,2019-07-20 13:01:46.583567108,23,0,1,7,0,311,354,0
1,1,1,http://192.168.0.124,2293,2019-07-20 13:01:46.584063469,114,4,2,2,0,89,41,0
1,1,1,http://192.168.0.124,2294,2019-07-20 13:01:46.584539390,660,0,1,7,0,192,491,0
1,1,1,http://192.168.0.124,2295,2019-07-20 13:01:46.585050338,893,0,1,7,0,192,755,0
1,1,1,http://192.168.0.124,2296,2019-07-20 13:01:46.585420890,53,0,1,7,0,341,1473,0
1,1,1,http://192.168.0.124,2297,2019-07-20 13:01:46.586071238,987,0,1,7,0,210,1295,0
1,1,1,http://192.168.0.124,2298,2019-07-20 13:01:46.586516344,878,0,1,12,0,1533,330,0
1,1,1,http://192.168.0.124,2299,2019-07-20 13:01:46.587020083,110,0,1,7,0,322,424,0
1,1,1,http://192.168.0.124,2300,2019-07-20 13:01:46.587471237,91,0,1,7,0,309,1109,0
1,1,1,http://192.168.0.124,2301,2019-07-20 13:01:46.587945303,128,0,1,7,0,279,891,0
1,1,1,http://192.168.0.124,2302,2019-07-20 13:01:46.588305697,363,0,1,7,0,219,643,0
1,1,1,http://192.168.0.124,2303,2019-07-20 13:01:46.589163676,251,0,1,7,0,296,6903,0
1,1,1,http://192.168.0.124,2304,2019-07-20 13:01:46.589896184,744,0,1,7,0,207,308,0
1,1,1,http://192.168.0.124,2305,2019-07-20 13:01:46.590368636,778,0,1,7,0,214,609,0
1,1,1,http://192.168.0.124,2306,2019-07-20 13:01:46.590824436,819,0,1,7,0,315,3730,0
1,1,1,http://192.168.0.124,2307,2019-07-20 13:01:46.591231353,310,0,1,7,0,274,1046,0
1,1,1,http://192.168.0.124,2308,2019-07-20 13:01:46.591725845,849,0,1,11,1,0,0,1
1,1,1,http://192.168.0.124,2309,2019-07-20 13:01:46.592192356,247,0,2,2,0,79,32,0
1,1,1,http://192.168.0.124,2310,2019-07-20 13:01:46.592704300,796,0,1,7,0,303,280,0
1,1,1,http://192.168.0.124,2311,2019-07-20 13:01:46.593362455,919,0,1,7,0,309,1008,0
1,1,1,http://192.168.0.124,2312,2019-07-20 13:01:46.594084636,214,0,1,11,1,0,0,1
1,1,1,http://192.168.0.124,2313,2019-07-20 13:01:46.594450790,429,0,1,7,0,257,23652,0
1,1,1,http://192.168.0.124,2314,2019-07-20 13:01:46.594938767,117,0,1,7,0,234,1035,0
1,1,1,http://192.168.0.124,2315,2019-07-20 13:01:46.595407253,998,0,1,11,1,0,0,1
1,1,1,http://192.168.0.124,2316,2019-07-20 13:01:46.595883683,547,0,1,5,0,8,0,0
1,1,1,http://192.168.0.124,2317,2019-07-20 13:01:46.596337141,144,0,1,11,1,0,0,1
1,1,1,http://192.168.0.124,2318,2019-07-20 13:01:46.596789006,948,0,1,7,0,225,1632,0
1,1,1,http://192.168.0.124,2319,2019-07-20 13:01:46.597161822,718,0,1,12,0,4031,322,0
