TIME_STAMP,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,1tt19,att20,att21,att22,att23,att24,att25,att26,att27,id,label
7/19/2010 13:01,0.054536042,0.01131637,0.012964319,0.009912561,0.016965513,3.39E-05,6.33E-05,0,0.004457827,0,0,0.016773365,3.05E-04,2.74E-04,2.26E-05,1.81E-05,2.26E-05,0.001191316,0,0,0.008445457,3.39E-05,2.26E-06,0.006826895,1.81E-05,2.49E-05,49186,'no'
7/20/2010 13:01,0.006309227,1.36E-05,1.90E-04,0.001100893,4.20E-04,0,0,0,6.56E-05,6.10E-05,0,4.27E-04,0.001614041,8.54E-04,0,6.78E-05,7.14E-04,0,0,0,0,6.33E-05,9.04E-06,0,8.14E-05,5.04E-04,49841,'no'
7/21/2010 13:01,7.26E-04,4.52E-06,3.44E-04,4.43E-04,1.13E-05,0,0,0,5.00E-04,3.39E-05,0,0.001159668,0.006302445,1.47E-04,6.78E-06,0.001281738,9.40E-04,2.26E-06,2.26E-06,0,1.67E-04,8.14E-05,4.52E-06,8.36E-05,0.002332899,0.00495515,49940,'no'
7/22/2010 13:01,0.014745642,6.04E-04,0.018294723,0.022451895,0.005296495,3.82E-04,8.32E-04,2.26E-04,0.007175022,4.07E-05,0,0.01216182,0.003112793,7.91E-05,4.52E-06,4.63E-04,3.12E-04,2.26E-04,0,0,5.38E-04,6.78E-06,0,1.60E-04,5.43E-05,9.20E-04,49191,'no'
7/23/2010 13:01,0.002102322,6.78E-06,0.001130281,0.001453541,1.36E-05,0,0,2.26E-06,0.001593696,8.82E-05,2.26E-06,0.009539569,0.009960033,0.001066985,2.26E-06,2.33E-04,6.49E-04,2.26E-06,0,0,5.38E-04,1.36E-04,3.84E-05,2.15E-04,0.001066985,0.004692925,49537,'no'
7/24/2010 13:01,0.153772425,0.00318287,0,0.0020119,0.020125778,0,0,0,0,0,4.52E-06,0,4.52E-06,9.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,49049,'no'
7/25/2010 13:01,3.21E-04,0,9.49E-05,8.59E-05,0,0,0,0,7.69E-04,2.37E-04,0,0.001193576,0.012426306,9.22E-04,0,6.10E-05,9.04E-06,0,2.26E-06,0,2.26E-06,8.36E-04,0.001496492,0,0.001980252,0.024915907,49687,'no'
7/26/2010 13:01,0.004729094,1.81E-05,1.99E-04,6.47E-04,3.96E-04,0,0,2.26E-06,4.75E-05,6.10E-05,0,1.88E-04,0.001073767,2.74E-04,0,1.06E-04,5.31E-04,0,0,0,0,2.03E-05,2.26E-05,0,9.95E-05,8.02E-04,49802,'no'
7/27/2010 13:01,1.20E-04,0,2.71E-05,7.01E-05,0,0,0,0,2.98E-04,7.46E-05,0,6.51E-04,0.023905436,6.74E-04,0,0.002176921,0.001012731,0,0,0,0,3.12E-04,1.20E-04,0,0.002565737,0.035918059,49667,'no'
7/28/2010 13:01,0.047019676,0.0018514,0,0.001141583,0.004887334,0,0,0,0,2.26E-06,4.52E-06,0,2.71E-05,0.010009766,0,0,0.012360749,0,0,0,0,0,2.26E-06,0,0,0,49016,'no'
7/29/2010 13:01,7.75E-04,0,1.13E-05,2.15E-04,2.26E-06,0,0,0,2.71E-04,2.12E-04,0,7.98E-04,0.009767886,0.006352177,0,2.01E-04,2.51E-04,0,0,0,0,6.51E-04,0.001412851,0,0.003508391,0.044080946,49755,'no'
7/30/2010 13:01,8.54E-04,0,3.23E-04,5.27E-04,2.49E-05,0,4.52E-06,0,5.90E-04,1.13E-05,0,8.86E-04,0.006395128,1.33E-04,9.04E-06,6.96E-04,6.15E-04,2.26E-06,0,0,1.49E-04,7.23E-05,0,8.36E-05,0.0020119,0.00390625,49938,'no'
7/31/2010 13:01,3.44E-04,2.26E-06,9.95E-04,3.62E-05,0,0,0,0,0.001521358,3.10E-04,6.78E-06,0.006065086,0.022040473,0.001044379,0,3.64E-04,4.75E-05,0,0,0,0,2.37E-04,0.002561216,0,4.41E-04,0.013800727,49576,'no'
8/1/2010 13:01,0.009627731,4.52E-06,1.51E-04,0.001928259,8.30E-04,0,0,0,7.91E-05,2.94E-05,0,2.53E-04,0.001383464,7.19E-04,0,2.94E-05,8.00E-04,0,0,0,0,1.81E-05,0,0,3.84E-05,3.50E-04,49883,'no'
8/2/2010 13:01,7.44E-04,0,5.99E-04,4.14E-04,2.26E-06,0,0,0,6.69E-04,2.26E-05,0,0.001801667,0.001953125,3.84E-05,0,3.16E-05,3.62E-05,0,0,0,1.36E-05,2.03E-05,1.13E-05,4.52E-06,4.75E-05,5.85E-04,49526,'no'
8/3/2010 13:01,0.025856301,0.015394423,0.019845468,0.013271756,0.012265806,0.004812735,0.001659252,4.50E-04,0.009614167,6.33E-05,0,0.005814164,0.003842954,3.98E-04,3.39E-05,6.06E-04,2.28E-04,0.00309923,0,0,0.009410717,3.16E-05,0,0.00600179,7.01E-05,5.88E-05,49202,'no'
8/4/2010 13:01,3.50E-04,0,4.52E-05,2.33E-04,9.04E-06,0,0,0,5.81E-04,1.15E-04,1.13E-05,0.001376682,0.008185493,8.64E-04,2.26E-06,9.72E-05,1.72E-04,0,0,0,6.78E-06,5.04E-04,3.91E-04,0,0.002131709,0.041743526,49697,'no'
8/5/2010 13:01,0.042141385,3.16E-05,4.34E-04,3.96E-04,7.46E-05,0,0,6.78E-06,0.002502441,1.18E-04,2.03E-05,0.005228678,0.020001447,1.72E-04,6.78E-06,5.27E-04,1.15E-04,0,0,0,2.26E-06,0.004634151,7.91E-05,0,0.021547671,0.042794687,100,'yes'
8/6/2010 13:01,6.89E-04,0,4.52E-06,1.92E-04,2.26E-06,0,0,0,3.55E-04,1.65E-04,0,6.69E-04,0.010733145,0.005427608,0,9.49E-05,2.53E-04,0,0,0,2.26E-06,5.92E-04,9.22E-04,0,0.003467701,0.044865361,49757,'no'
8/7/2010 13:01,6.94E-04,0,6.78E-06,2.19E-04,2.26E-06,0,0,0,3.12E-04,1.58E-04,2.26E-06,6.40E-04,0.011630588,0.004747179,0,1.18E-04,2.24E-04,0,0,0,0,6.10E-04,8.30E-04,0,0.003469962,0.044670953,49758,'no'
8/8/2010 13:01,0.061966508,0.003689236,0,2.85E-04,0.01804154,0,0,0,0,0,2.26E-06,0,4.52E-05,0.005169904,0,0,6.78E-06,0,0,0,0,0,2.26E-06,0,0,4.52E-06,49031,'no'
8/9/2010 13:01,1.79E-04,0,2.71E-05,1.33E-04,0,0,0,0,1.81E-04,3.84E-05,0,5.79E-04,0.027517813,0.001024034,0,0.002595124,7.98E-04,0,0,0,0,4.93E-04,1.29E-04,0,0.005981445,0.028496636,49609,'no'
8/10/2010 13:01,1.58E-05,0,5.43E-05,0,0,0,0,0,0.004283764,1.60E-04,0,0.009519224,0.006664135,3.62E-05,2.26E-06,1.13E-05,0,4.52E-06,0,0,8.39E-04,0.009860569,1.81E-05,3.62E-04,0.01199906,0.027601454,49892,'no'
8/11/2010 13:01,0.001817491,0,7.39E-04,0.001121238,2.26E-06,0,2.26E-06,0,0.001559787,2.94E-05,0,0.005212854,0.004102919,4.39E-04,4.52E-06,7.46E-05,1.04E-04,0,4.52E-06,0,2.03E-05,6.10E-05,2.26E-05,1.13E-05,1.54E-04,7.26E-04,49533,'no'
